thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,label_header,label_id
-1.038460925541061064e+00,1.627196007513093123e-01,2.936290796518027935e-01,8.414906314703574086e-01,3.514166056922679582e-02,7.201764956253682293e-01,1.383999999999999986e+01,1.000000000000000000e+00
-1.040619578770304532e+00,1.824537684188234921e-01,3.098722777614572044e-01,9.630206959936193911e-01,1.525136400287903024e-02,7.926683886644791954e-01,1.384500000000000064e+01,1.000000000000000000e+00
-1.043217127876005179e+00,2.014397037504360721e-01,3.245261323711136625e-01,1.085067801588921466e+00,-4.509409041760428262e-03,8.601953575423997300e-01,1.384999999999999964e+01,1.000000000000000000e+00
-1.049216529946914278e+00,2.178079821931603044e-01,3.435265060132753345e-01,1.208631462672120183e+00,-3.102594500004984129e-02,9.399937568926095555e-01,1.385500000000000043e+01,1.000000000000000000e+00
-1.046067119856020078e+00,2.331947602055314261e-01,3.561441989323811397e-01,1.289470490889913945e+00,-5.115732910951935331e-02,9.959507264360063505e-01,1.385999999999999943e+01,1.000000000000000000e+00
-1.042728552878864567e+00,2.402559507989560084e-01,3.701536153358354619e-01,1.377287236338748500e+00,-7.363194287587265796e-02,1.065126129976059488e+00,1.386500000000000021e+01,1.000000000000000000e+00
-1.037355244503368468e+00,2.393425563391920752e-01,3.839148664103410047e-01,1.445369021270575649e+00,-9.904586835752884899e-02,1.138264394583896610e+00,1.386999999999999922e+01,1.000000000000000000e+00
-1.035352321717667667e+00,2.293732699796928731e-01,3.870282399225646874e-01,1.483797861343149282e+00,-1.210869616794986448e-01,1.183271774597308701e+00,1.387500000000000000e+01,1.000000000000000000e+00
-1.039779562663136314e+00,2.171659907347140150e-01,3.839371367828723902e-01,1.505457627322412728e+00,-1.435744018398109334e-01,1.224361587871264812e+00,1.388000000000000078e+01,1.000000000000000000e+00
-1.050105509106440405e+00,2.009378459376682802e-01,3.748821419294190438e-01,1.499361475962091017e+00,-1.581453642556999162e-01,1.261341488571996017e+00,1.388499999999999979e+01,1.000000000000000000e+00
-1.073581845393416945e+00,1.834574809822135666e-01,3.599871864634154317e-01,1.452690462924372206e+00,-1.764618544181814075e-01,1.279837237047063647e+00,1.389000000000000057e+01,1.000000000000000000e+00
-1.103639963076997521e+00,1.650597373742681562e-01,3.351590212954580483e-01,1.374011632831658281e+00,-1.874524238018932809e-01,1.298022080024699543e+00,1.389499999999999957e+01,1.000000000000000000e+00
