time_ms,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z
12763,-1.034,0.337,0.09,-0.99778,-0.16,0.12667,-1.095,-0.12,0.092,-0.17222,0.97556,-0.07111
12867,-0.9,0.205,0.118,-0.57667,-0.23667,0.16444,-0.838,-0.032,0.024,-1.47,0.22889,-0.33222
12964,-0.96,0.145,0.107,-0.12889,-0.34,-0.01333,-0.937,0.078,-0.104,-1.11,0.23,-0.30111
13063,-0.963,0.177,0.093,-0.21889,-0.33111,-0.02111,-0.903,-0.028,-0.188,0.49778,0.26667,0.00556
13164,-0.979,0.205,0.104,-0.18333,-0.38889,-0.04222,-0.925,-0.111,-0.237,-0.43333,-0.11444,-0.12222
13258,-0.955,0.185,0.101,-0.38222,-0.33,-0.05556,-0.98,0.036,-0.318,0.03778,-0.19889,-0.22889
13363,-1.037,0.309,0.092,-0.65444,-0.29111,-0.02778,-1.154,-0.004,-0.161,-0.28556,-0.82778,0.07
13465,-1.213,0.146,0.093,-0.38889,0.52889,0.15556,-0.765,0.215,-0.19,-1.53,-0.13444,-0.22111
13563,-1.094,-0.06,-0.001,-0.11222,2.16667,-0.03,-0.989,-0.25,0.102,0.57,-0.55667,0.09333
13662,-1.211,0.438,0.12,1.10667,1.91556,0.61333,-1.091,0.0,-0.048,-0.72,-0.60444,-0.22
13758,-0.896,0.025,-0.161,1.22,1.20333,0.51333,-0.969,-0.181,0.137,1.09667,-0.23889,-0.14778
13864,-0.682,0.021,-0.134,1.08889,0.27222,0.26333,-0.948,-0.106,0.141,0.04444,-0.47889,-0.03
13961,-0.659,-0.007,-0.333,-0.38333,-0.68111,-0.13556,-1.009,-0.107,0.098,0.22,-0.56667,0.02556
14063,-1.248,0.402,-0.724,0.65667,-0.58444,-0.14222,-0.946,-0.181,0.109,0.33222,-0.40222,0.01
14167,-0.752,0.131,-0.447,0.63778,-0.26778,0.29,-0.952,-0.045,0.189,0.77889,-0.34556,-0.02778
14265,-1.392,0.431,-0.585,1.40333,-0.02,-0.03111,-1.317,-0.302,0.03,0.34444,0.27222,0.02889
14362,-1.047,0.422,0.043,-0.57667,-0.86778,-0.04667,-1.037,0.333,0.025,0.04667,2.21556,0.26444
14462,-0.949,0.082,-0.044,-0.17222,-1.01333,-0.07222,-1.159,-0.399,0.23,0.77333,2.01889,-0.39889
14562,-0.906,0.264,0.124,-1.09222,-0.78,-0.02444,-0.856,-0.119,-0.039,-1.74111,1.09778,-0.28
14664,-1.018,0.394,-0.05,0.12556,-0.58111,0.02667,-0.778,0.09,0.1,-1.31333,0.07556,-0.47444
14761,-0.929,0.104,0.103,-0.23,-0.42444,-0.14111,-0.793,-0.072,-0.239,1.32667,-0.41778,-0.08
14855,-0.958,0.113,0.016,-0.19778,-0.65333,-0.03,-1.352,-0.203,-0.797,-1.28111,-0.86889,-0.04111
14963,-0.974,0.179,0.02,-1.19,-0.18,0.14778,-0.596,0.105,0.078,-0.94,-0.23778,-0.10778
15064,-1.255,0.148,-0.008,-0.96333,1.08,0.07,-1.738,-0.275,-0.528,-1.74778,-1.54667,0.00778
15162,-1.26,0.229,0.134,0.04,2.59556,0.65444,-1.181,-0.159,0.067,-0.38889,-1.29667,0.23556
15263,-1.024,0.263,0.059,2.27444,1.74444,0.58222,-1.084,0.095,0.113,0.35778,-0.90111,-0.31222
15370,-0.684,0.06,-0.074,1.48444,0.79889,0.44444,-0.959,-0.2,0.197,1.25556,-0.60778,-0.13444
15464,-0.657,-0.111,-0.125,0.18889,-0.41444,0.13444,-0.952,-0.122,0.182,0.26444,-0.8,0.06333
15560,-0.82,0.147,-0.471,-0.82778,-1.60778,-0.70111,-1.017,-0.145,0.061,0.58667,-0.59778,0.03667
15666,-0.551,-0.081,-0.658,-0.2,0.42111,0.71444,-1.102,-0.026,-0.035,0.52889,0.06,-0.10111
15763,-1.405,0.363,-0.58,1.42222,-0.21444,0.49333,-1.25,-0.042,-0.028,0.19778,1.95,0.15333
15871,-1.259,0.934,0.244,-0.54,-1.20556,-0.15,-1.417,-0.444,0.401,1.71,2.35556,-0.70778
15958,-0.952,-0.012,0.037,-1.41,-1.10778,0.02111,-0.989,0.001,0.089,-2.19444,1.41,-0.55222
