cuda:0 (1 GPUs)
Train Size: 46341, Vali Size: 5792, Test Size: 5794

=== DAPT seed=3431 | train=46341 vali=5792 | start=saved/bertx/limu_bert_x | lr=0.0005 epochs=3200 batch=1024 workers=8 ===
    mask_cfg(./config/mask.json): ratio=0.15 alpha=6 max_gram=10 prob=0.8 replace=0
Loading the model from saved/bertx/limu_bert_x
Epoch 136/3200 : Average Loss 0.0932. Test Loss 0.0933
Epoch 137/3200 : Average Loss 0.0920. Test Loss 0.0926
Epoch 138/3200 : Average Loss 0.0929. Test Loss 0.0939
Epoch 139/3200 : Average Loss 0.0914. Test Loss 0.0929
Epoch 140/3200 : Average Loss 0.0921. Test Loss 0.0943
Epoch 141/3200 : Average Loss 0.0918. Test Loss 0.0901
Epoch 142/3200 : Average Loss 0.0922. Test Loss 0.0908
Epoch 143/3200 : Average Loss 0.0910. Test Loss 0.0925
Epoch 144/3200 : Average Loss 0.0925. Test Loss 0.0968
Epoch 145/3200 : Average Loss 0.0911. Test Loss 0.0901
Epoch 146/3200 : Average Loss 0.0907. Test Loss 0.0913
Epoch 147/3200 : Average Loss 0.0914. Test Loss 0.0922
Epoch 148/3200 : Average Loss 0.0920. Test Loss 0.0904
Epoch 149/3200 : Average Loss 0.0925. Test Loss 0.0934
Epoch 150/3200 : Average Loss 0.0913. Test Loss 0.0901
Epoch 151/3200 : Average Loss 0.0942. Test Loss 0.0939
Epoch 152/3200 : Average Loss 0.0920. Test Loss 0.0894
Epoch 153/3200 : Average Loss 0.0915. Test Loss 0.0916
Epoch 154/3200 : Average Loss 0.0901. Test Loss 0.0905
Epoch 155/3200 : Average Loss 0.0907. Test Loss 0.0919
Epoch 156/3200 : Average Loss 0.0903. Test Loss 0.0949
Epoch 157/3200 : Average Loss 0.0896. Test Loss 0.0909
Epoch 158/3200 : Average Loss 0.0906. Test Loss 0.0952
Epoch 159/3200 : Average Loss 0.0908. Test Loss 0.0911
Epoch 160/3200 : Average Loss 0.0907. Test Loss 0.0913
Epoch 161/3200 : Average Loss 0.0897. Test Loss 0.0897
Epoch 162/3200 : Average Loss 0.0895. Test Loss 0.0924
Epoch 163/3200 : Average Loss 0.0898. Test Loss 0.0941
Epoch 164/3200 : Average Loss 0.0893. Test Loss 0.0916
Epoch 165/3200 : Average Loss 0.0887. Test Loss 0.0889
Epoch 166/3200 : Average Loss 0.0896. Test Loss 0.0910
Epoch 167/3200 : Average Loss 0.0890. Test Loss 0.0904
Epoch 168/3200 : Average Loss 0.0890. Test Loss 0.0887
Epoch 169/3200 : Average Loss 0.0890. Test Loss 0.0896
Epoch 170/3200 : Average Loss 0.0889. Test Loss 0.0893
Epoch 171/3200 : Average Loss 0.0888. Test Loss 0.0912
Epoch 172/3200 : Average Loss 0.0887. Test Loss 0.0893
Epoch 173/3200 : Average Loss 0.0895. Test Loss 0.0927
Epoch 174/3200 : Average Loss 0.0893. Test Loss 0.0870
Epoch 175/3200 : Average Loss 0.0893. Test Loss 0.0891
Epoch 176/3200 : Average Loss 0.0904. Test Loss 0.0956
Epoch 177/3200 : Average Loss 0.0881. Test Loss 0.0911
Epoch 178/3200 : Average Loss 0.0895. Test Loss 0.0911
Epoch 179/3200 : Average Loss 0.0885. Test Loss 0.0893
Epoch 180/3200 : Average Loss 0.0881. Test Loss 0.0912
Epoch 181/3200 : Average Loss 0.0880. Test Loss 0.0883
Epoch 182/3200 : Average Loss 0.0881. Test Loss 0.0897
Epoch 183/3200 : Average Loss 0.0882. Test Loss 0.0873
Epoch 184/3200 : Average Loss 0.0874. Test Loss 0.0870
Epoch 185/3200 : Average Loss 0.0880. Test Loss 0.0867
Epoch 186/3200 : Average Loss 0.0882. Test Loss 0.0915
Epoch 187/3200 : Average Loss 0.0879. Test Loss 0.0874
Epoch 188/3200 : Average Loss 0.0878. Test Loss 0.0872
Epoch 189/3200 : Average Loss 0.0878. Test Loss 0.0874
Epoch 190/3200 : Average Loss 0.0874. Test Loss 0.0900
