thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,label_header,label_id
-9.908694065646252991e-01,5.425223964988618378e-03,2.578625910326305948e-01,-2.536369305035263144e-01,-4.777276142205887088e-02,-5.831048460309773418e-01,1.346299999999999919e+01,8.000000000000000000e+00
-9.607292029594549643e-01,-6.135704443666859659e-02,2.253205871779060399e-01,-5.190380647515682178e-01,-3.568756623997998423e-02,-7.439112456000336326e-01,1.351200000000000045e+01,8.000000000000000000e+00
-9.792444368687049927e-01,-3.980284166790979544e-02,1.313757949021099325e-01,-3.751810926190717876e-01,1.418026141135420581e-01,-8.165338869037531699e-01,1.356300000000000061e+01,8.000000000000000000e+00
-9.717350550656144170e-01,-8.737584393334127397e-02,1.620122442647066174e-01,-2.497142619471648950e-01,1.004922718488725497e-01,-8.592829795018076533e-01,1.361299999999999955e+01,8.000000000000000000e+00
-9.645378495516769846e-01,-5.985456313754029811e-02,1.552797304709490345e-01,-1.887454243403982601e-01,1.786161836996630892e-01,-8.833304364121303820e-01,1.366200000000000081e+01,8.000000000000000000e+00
-9.479783858002258645e-01,-6.529401577864435424e-02,9.530280980142837033e-02,-3.986543060464226573e-01,2.126725363827328685e-01,-9.552133786972458740e-01,1.371299999999999919e+01,8.000000000000000000e+00
-1.012565085867285664e+00,-7.554195575307753874e-02,8.079814728150595815e-02,-4.705371064202583109e-01,3.340024900177051004e-01,-8.421899464442503813e-01,1.376200000000000045e+01,8.000000000000000000e+00
-1.031287586037609838e+00,-5.228834015717949424e-02,1.675179056318908954e-01,-7.389920654167846381e-01,3.773974734200801762e-01,-4.994941214638611848e-01,1.381300000000000061e+01,8.000000000000000000e+00
-1.025328590485291569e+00,-4.896991989625412017e-02,1.570776116052569338e-01,-5.339879656927525309e-01,1.019891947296974327e-01,-2.975441471313852171e-01,1.386299999999999955e+01,8.000000000000000000e+00
-9.979707110867929165e-01,-1.143241210983130668e-01,1.746392794519384117e-01,-7.616196472286014263e-01,1.222793950646219319e-01,-2.191737346142811627e-01,1.391200000000000081e+01,8.000000000000000000e+00
-1.091432587754055605e+00,-1.736600517705302604e-01,2.387139335171823140e-01,-2.364550676209626057e-01,1.384805587968474805e-01,-4.686643107334741154e-02,1.396299999999999919e+01,8.000000000000000000e+00
-1.125059918745662024e+00,-8.947436489924912029e-02,1.740705447721140886e-01,3.952938803604016949e-01,4.766965923668817912e-02,2.135199997928955984e-01,1.401200000000000045e+01,8.000000000000000000e+00
-1.059187908804767542e+00,-1.645710299666931428e-02,7.746910046336613620e-02,4.153766818675174166e-01,1.053652533366724597e-01,4.326046386655225673e-01,1.406300000000000061e+01,8.000000000000000000e+00
-1.044621977780657351e+00,6.766600813134673875e-02,-4.118502687317297101e-02,8.787649308565867456e-02,1.594271851393454509e-01,8.400864110212635794e-01,1.411299999999999955e+01,8.000000000000000000e+00
-1.039093144736612961e+00,8.647965673622455551e-02,-6.608351165420164874e-02,-8.316874999026310777e-02,3.264395508071641916e-01,1.698302191283609375e+00,1.416200000000000081e+01,8.000000000000000000e+00
-1.164455448478398658e+00,-6.692235744935352837e-02,1.428105640567645454e-02,1.270994507685895003e-01,7.616429167946801859e-02,2.037655388459310490e+00,1.421299999999999919e+01,8.000000000000000000e+00
-1.140040644317388496e+00,-1.601715935910153210e-01,-1.103761694131077109e-01,3.893121172893072024e-01,3.314358132252855776e-02,1.930801920030843943e+00,1.426200000000000045e+01,8.000000000000000000e+00
-1.039203545727325206e+00,-2.365156706969323910e-02,-3.807255641184884715e-02,3.879817839066638241e-01,-8.839625478919133084e-02,1.468886134719616710e+00,1.431300000000000061e+01,8.000000000000000000e+00
-8.958644364005854399e-01,-3.620094354199006326e-02,-4.989450127513551936e-02,4.159723692606943080e-01,-1.152001192556123543e-01,1.098659037932802063e+00,1.436299999999999955e+01,8.000000000000000000e+00
-8.505875899839274723e-01,-8.048181626366134045e-03,-4.664725823420756007e-02,5.305138484886711137e-01,-9.270515640807161506e-02,8.027764535269028556e-01,1.441200000000000081e+01,8.000000000000000000e+00
-8.342857869445697849e-01,5.778364334797066182e-02,-2.355424117355806729e-02,3.282020769467379195e-01,-2.095627108147998519e-01,3.969380420518995312e-01,1.446299999999999919e+01,8.000000000000000000e+00
-7.896281918571608216e-01,1.383056906097508698e-01,-4.809446253560232393e-02,3.344167170315225923e-01,-2.233335090083693741e-01,-7.272249710525403865e-02,1.451200000000000045e+01,8.000000000000000000e+00
-9.220471435785638770e-01,3.479140045077832033e-01,1.584725326671192897e-02,-2.216998153416145298e-02,-1.903184738932264530e-01,-3.557780549038723761e-01,1.456300000000000061e+01,8.000000000000000000e+00
-9.894334392156040048e-01,4.649403314109578078e-01,2.607730621359937231e-02,-7.963583316662752043e-02,-1.876276335155713793e-01,-3.714171710317650810e-01,1.461299999999999955e+01,8.000000000000000000e+00
-9.773320040361200833e-01,3.989429031999873754e-01,-1.109229052415080900e-02,1.406642727300228823e-01,-9.769313499363770775e-03,-3.119020676227299282e-01,1.466200000000000081e+01,8.000000000000000000e+00
-9.380153116007520220e-01,3.520843382924777609e-01,3.398999982754873084e-02,3.379650886775263374e-01,-6.484404358529291361e-03,-1.535381329240893822e-01,1.471299999999999919e+01,8.000000000000000000e+00
-9.350435673734309727e-01,3.009575625776503283e-01,-2.424990347519527176e-02,-2.228364693582285394e-01,-1.049801527578238247e-01,-4.162199961427591743e-01,1.476200000000000045e+01,8.000000000000000000e+00
-1.184366843193000118e+00,1.370380774280181568e-01,-2.832588705311421193e-02,-2.123357820280493136e-01,-6.196963617394242452e-02,-5.318145311931116170e-01,1.481300000000000061e+01,8.000000000000000000e+00
-1.067631019790207914e+00,3.235697819236793005e-01,1.245433882334826270e-01,4.035159112436735862e-01,-9.886139368922723658e-02,-2.236874326856430062e-01,1.486299999999999955e+01,8.000000000000000000e+00
-9.015482896198723228e-01,8.918333830443826715e-02,6.122799404321762479e-02,4.316092545789054213e-01,-3.514840034091419319e-01,-4.213904620168312798e-01,1.491200000000000081e+01,8.000000000000000000e+00
-9.829189570151413147e-01,5.627980886954200498e-03,-3.500967025240576264e-02,-5.478913311132922459e-01,-8.799301070726120444e-02,-7.462610694392662891e-01,1.496299999999999919e+01,8.000000000000000000e+00
-9.738477274268617645e-01,-3.767455130881958159e-02,1.679998767395801118e-01,-4.510673404783917262e-02,3.124829677877286049e-02,-8.629928788944342122e-01,1.501200000000000045e+01,8.000000000000000000e+00
-9.651495134446635982e-01,2.607861365096633688e-02,9.530127054443235379e-02,7.873826055552603231e-02,1.346926884307341789e-02,-7.679338881950859008e-01,1.506300000000000061e+01,8.000000000000000000e+00
-1.000087451488393508e+00,6.017870207243659897e-02,1.716564811504854293e-01,-2.706566321128310859e-01,-2.835227371593916071e-04,-7.109723714599393007e-01,1.511299999999999955e+01,8.000000000000000000e+00
-9.864204606128426089e-01,1.467961439793704671e-02,1.376481655604780696e-01,-4.371687523911825801e-01,1.503255481676558925e-02,-5.386401304316613681e-01,1.516200000000000081e+01,8.000000000000000000e+00
-9.715589877958453746e-01,-1.029695510911594614e-01,1.267345044481453242e-01,-4.640278085595636037e-01,-1.290059254065758533e-02,-5.234322515545566379e-01,1.521299999999999919e+01,8.000000000000000000e+00
-9.688355689210027544e-01,-8.831350169207426160e-02,1.568921524135535039e-01,-3.480391411536589708e-01,8.252359145418745878e-02,-4.871175329064675319e-01,1.526200000000000045e+01,8.000000000000000000e+00
