label_header;thigh_Accel_X;thigh_Accel_Y;thigh_Accel_Z;thigh_Gyro_X;thigh_Gyro_Y;thigh_Gyro_Z;label_id
16.4620;-1.1501391;0.1713829;0.1043745;0.4607062;0.0582079;-0.4819077;8
16.5120;-0.9355491;0.1808777;0.1073052;0.3933833;-0.2264176;-0.3903613;8
16.5620;-0.9024325;-0.1239678;0.0005721;-0.8535794;-0.2129844;-1.0402448;8
16.6130;-1.0067145;0.0971178;0.0467668;0.2611673;0.0416332;-0.4074852;8
16.6630;-0.9725780;-0.0006825;0.2265893;-0.2017352;-0.0013257;-0.6229950;8
16.7120;-0.9499054;-0.0697832;0.1809569;-0.0963989;-0.0073498;-0.7114482;8
16.7620;-0.9725769;-0.0598401;0.1034924;-0.2719066;0.0865716;-0.7561379;8
16.8120;-1.0003931;-0.0693144;0.1170754;-0.4290410;0.1264456;-0.6382466;8
16.8630;-0.9868733;-0.1016578;0.2259838;-0.0568342;0.0375424;-0.4539882;8
16.9130;-0.9470299;-0.0955125;0.1361825;-0.1814115;0.0894522;-0.5573554;8
16.9620;-0.9929196;-0.0765444;0.0785500;-0.4906456;0.1494063;-0.5648711;8
17.0120;-0.9774543;-0.0636060;0.1846743;-0.5214957;0.1715545;-0.4442806;8
17.0620;-0.9632263;-0.0682369;0.1552182;-0.6919625;0.2379639;-0.2518112;8
17.1130;-0.9900690;-0.1265299;0.1488547;-0.4607226;0.1636913;-0.2345506;8
17.1630;-0.9747732;-0.1560569;0.1581817;-0.4374913;0.1470434;-0.2318031;8
17.2120;-1.1286723;-0.1744343;0.1635254;-0.2056025;0.1135715;-0.2073428;8
17.2620;-1.1867485;0.0055304;0.1281382;0.0957068;0.0674191;0.1751802;8
17.3120;-1.1169201;0.0990529;0.1370397;0.2651078;0.0371688;0.7864375;8
17.3630;-1.0491930;0.1295865;-0.0023642;0.4241622;0.2574076;1.4546391;8
17.4130;-1.0445359;-0.0355056;-0.0410553;0.2079944;0.1982737;1.9468719;8
17.4620;-1.1401139;-0.1513483;0.0410320;0.3579657;0.0379656;1.9832269;8
17.5120;-1.1232391;-0.1548236;0.0516469;0.5219850;-0.1461362;1.4759576;8
17.5620;-0.9481047;0.0457980;-0.0503327;0.8194079;-0.1097511;1.2290598;8
17.6130;-0.8867335;0.0345610;-0.0241192;0.5751307;-0.1459891;0.9548826;8
17.6630;-0.8069061;0.0272508;-0.0951114;0.3366436;-0.0874193;0.4886574;8
17.7120;-0.8036700;0.0991913;-0.0789879;-0.2140366;-0.0100256;0.0724696;8
17.7620;-0.8227643;0.2314576;0.0103508;-0.3444151;0.0256900;-0.3375810;8
17.8120;-0.9470288;0.4564690;0.1274657;0.1520133;-0.0118287;-0.4496696;8
17.8630;-0.9625100;0.4804330;0.0134995;0.2588353;0.1143716;-0.6095183;8
17.9130;-1.0364475;0.4367229;0.0811659;-0.6697751;0.0972827;-0.4066807;8
17.9620;-0.9889833;0.1455510;0.0396330;0.5862353;-0.1121214;-0.2584510;8
18.0120;-1.1856971;-0.0474635;0.0513591;0.3813616;-0.0246430;-0.7204846;8
18.0620;-1.0696996;0.3241200;-0.0147517;0.6843821;-0.0996965;-0.5049248;8
18.1130;-0.8231609;-0.2280299;-0.1423683;-0.6953880;-0.0390010;-0.8139977;8
18.1630;-1.0119203;0.0736388;0.1164608;-0.3078663;0.1081732;-0.7308148;8
18.2120;-0.9550711;-0.1200671;0.2047651;-0.2006599;0.0535762;-0.7429521;8
18.2620;-0.9960627;-0.0565353;0.1927372;-0.3169089;0.0985985;-0.7752744;8
18.3120;-1.0296207;0.0187506;0.0545183;-0.1830058;0.0015279;-0.5900881;8
18.3630;-0.9980256;-0.0117983;0.0680166;-0.4239188;-0.0300346;-0.3699273;8
18.4130;-0.9564741;-0.1328294;0.1324337;-0.4994124;-0.0016921;-0.3905670;8
18.4620;-0.9657261;-0.1441518;0.1407400;-0.3226977;0.0657579;-0.4109551;8
18.5120;-0.9707953;-0.1636132;0.1271893;-0.2181280;0.1183643;-0.4521027;8
18.5620;-0.9843032;-0.0887472;0.1310918;-0.0673133;0.0922813;-0.4104047;8
18.6130;-0.9724720;-0.1189068;0.1402494;-0.3453321;0.0819532;-0.3715901;8
18.6630;-0.9813521;-0.1644587;0.1243888;-0.4240949;0.1016532;-0.3472974;8
18.7120;-1.0289302;-0.1628080;0.0937394;-0.3780344;0.1391259;-0.2636237;8
18.7620;-1.1295771;-0.1531342;0.1520518;-0.2455772;0.1650890;-0.2053547;8
18.8120;-1.1527739;-0.0455678;0.1541804;-0.0626455;0.1139033;0.0971085;8
18.8630;-1.0451064;0.0857455;0.1160855;0.2142429;-0.0117572;0.6586635;8
18.9130;-0.9978981;0.1249770;-0.0037119;0.4211221;0.0583653;1.4613671;8
18.9620;-1.0651021;-0.0599064;-0.0195890;-0.0794408;0.0902312;1.9908070;8
19.0120;-1.1657415;-0.2208725;0.1110620;0.1487073;-0.2226703;1.7379901;8
19.0620;-1.0651525;-0.1673097;0.0477716;1.0116141;-0.1915073;1.5463794;8
19.1130;-0.9888075;0.0524450;-0.1049818;0.8236395;-0.1069142;1.2089145;8
19.1630;-0.9068262;0.0197126;-0.0128029;0.5463869;-0.0944529;0.9393102;8
19.2120;-0.8701023;0.0316942;-0.0511172;0.6422596;-0.0211635;0.6199539;8
19.2620;-0.8144244;0.1370831;-0.0695988;-0.0247293;-0.0055254;0.2043038;8
19.3120;-0.7976438;0.1793113;-0.0240745;-0.4211960;0.0711068;-0.3742273;8
19.3630;-0.9330726;0.3262160;0.0575961;-0.2520290;0.0838453;-0.3956713;8
19.4130;-1.0320278;0.4071086;0.1204707;0.5195923;0.0231942;-0.1991735;8
19.4620;-1.0074803;0.4791250;0.0926785;-0.0559338;0.0097956;-0.1763976;8
19.5120;-0.9175945;0.2760740;0.0181773;0.0364364;-0.0966588;-0.2389660;8
19.5620;-1.2063942;0.0261599;-0.0511739;-0.0982090;-0.0272816;-0.6183633;8
19.6130;-1.0774444;0.1733391;0.0098766;-0.0545447;-0.0219960;-0.5601031;8
19.6630;-0.9285884;0.0663994;-0.0072641;-0.0050415;-0.0783149;-0.4617767;8
19.7120;-0.9044994;-0.2250642;0.0322471;-0.8861150;0.0694350;-0.9302179;8
19.7620;-0.9707536;0.0014275;0.0988825;-0.2861724;0.1019016;-0.6917010;8
19.8120;-0.9661672;-0.0677392;0.2680693;-0.2367558;0.1873192;-0.7930886;8
19.8630;-1.0284407;-0.0455315;0.1770586;-0.1636563;0.0299758;-0.6968881;8
19.9130;-0.9852930;0.0353950;0.1084980;-0.1834082;0.0104028;-0.4140752;8
19.9620;-1.0470867;-0.0771520;0.1058773;-0.2997389;-0.0299520;-0.2813191;8
20.0120;-0.9341369;-0.0548603;0.0756739;-0.1640799;0.0532260;-0.2963296;8
20.0620;-0.9652747;-0.1123640;0.1302496;-0.2345392;0.0769161;-0.4523353;8
20.1130;-0.9958429;-0.0334266;0.1198283;-0.1097122;0.1105288;-0.4101835;8
20.1630;-0.9803431;-0.0128974;0.1448876;-0.2044648;0.0568413;-0.3161745;8
20.2120;-0.9565318;-0.0982706;0.1722663;-0.4297235;0.0416197;-0.3086156;8
20.2620;-0.9527611;-0.1206479;0.1377041;-0.4458527;0.0485200;-0.2955088;8
20.3120;-1.0516156;-0.1158822;0.2036867;-0.2373050;0.0127982;-0.1998114;8
20.3630;-1.1992284;-0.1481606;0.1590087;-0.1391461;0.0926889;-0.0541281;8
20.4130;-1.1720493;0.0282715;0.1500016;0.4697235;0.1135894;0.3698225;8
20.4620;-1.0208726;0.1265275;0.0141019;0.3412001;0.1596146;0.9514360;8
20.5120;-1.0056977;0.0866784;-0.0228147;0.1722001;0.2826163;1.6568087;8
20.5620;-1.1616607;-0.0872109;0.0306242;-0.1714800;0.0024723;1.8508252;8
20.6130;-1.1453923;-0.2174501;0.1344158;0.3214080;-0.2394295;1.8157760;8
20.6630;-1.0462065;-0.0351269;0.0021200;0.9240516;-0.2047513;1.4816863;8
20.7120;-0.9267095;0.0165035;-0.0486734;0.6670341;-0.0740027;1.2005372;8
20.7620;-0.8809657;-0.0326039;0.0024916;0.6717421;-0.0194924;0.8524561;8
20.8120;-0.7386346;-0.0313562;-0.1239673;0.4315599;0.0561053;0.2903691;8
20.8630;-0.7480686;0.1249991;-0.0361334;-0.1737417;0.1665202;-0.3570541;8
20.9130;-0.9144095;0.4272533;0.1106595;-0.5108405;-0.0045767;-0.7017305;8
20.9620;-1.0774949;0.4782250;0.1213317;0.3647775;0.0244090;-0.5764539;8
21.0120;-1.0138855;0.4799480;0.0900445;0.1882914;0.1204521;-0.1363399;8
21.0620;-0.9469416;0.1984443;-0.0435407;-0.1205226;-0.0715176;-0.3262338;8
21.1130;-1.1696532;-0.0892372;-0.0590406;-0.4749092;-0.0100835;-0.5265789;8
21.1630;-1.0877093;0.2810644;0.1006132;0.4012279;0.0722756;-0.1675785;8
21.2120;-0.8797370;0.0674413;-0.0158987;-0.8782612;-0.1944226;-0.8140206;8
21.2620;-1.0086892;0.0174004;-0.0167440;-0.2989100;0.0469053;-0.6674770;8
21.3120;-0.9544644;0.0744864;0.1220700;-0.2899024;0.1935331;-0.5520834;8
21.3630;-0.9813693;-0.0892162;0.2188419;-0.4392236;0.0546330;-0.7017940;8
21.4130;-0.9679254;-0.0351466;0.1725815;-0.3628705;0.0658031;-0.6498453;8
21.4620;-0.9924806;-0.0264472;0.1454984;-0.0760353;0.1234959;-0.5031886;8
21.5120;-0.9874703;-0.0545189;0.1436803;-0.0341650;0.0691617;-0.4805515;8
21.5620;-0.9774615;-0.0769409;0.1129364;-0.0941509;0.1112886;-0.3963461;8
21.6130;-0.9690531;-0.0819682;0.1051036;-0.0692047;0.1245643;-0.4670323;8
21.6630;-0.9599561;-0.1179508;0.0842694;-0.0940497;0.2004939;-0.5058549;8
21.7120;-0.9830013;-0.0967580;0.1083713;-0.0118824;0.2152049;-0.4687770;8
21.7620;-0.9718162;-0.0862302;0.1062523;-0.2755117;0.1723109;-0.4528019;8
21.8120;-0.9805700;-0.0995911;0.1795619;-0.3689277;0.1726142;-0.4675729;8
21.8630;-1.0847536;-0.1341510;0.2235917;-0.3135948;0.0798394;-0.2783064;8
21.9130;-1.2369633;-0.1133713;0.0613802;-0.1510923;0.0691988;0.0715781;8
21.9620;-1.1437390;0.0440423;0.0783459;0.2031135;0.0485586;0.5480467;8
22.0120;-1.0124055;0.0416786;0.0857113;0.1273377;-0.0090230;1.0429044;8
22.0620;-0.9913827;0.0024282;-0.0848891;0.4111336;0.1380552;1.6863811;8
22.1130;-1.0924210;-0.1284313;0.0395070;0.1854408;-0.0667434;1.7280934;8
22.1630;-1.0964264;-0.1997228;0.0715728;0.6426603;-0.1990703;1.5787693;8
22.2120;-0.9896635;-0.0002367;-0.0985086;0.7695204;-0.0939119;1.2443217;8
22.2620;-0.9269718;-0.0009011;-0.0110622;0.4941669;-0.0982722;1.0270400;8
22.3120;-0.9178741;0.0002437;-0.0527609;0.4360314;-0.0364065;0.7297856;8
22.3630;-0.8623878;0.1009028;-0.0623680;0.3629000;-0.0536779;0.4799583;8
22.4130;-0.8304629;0.2086201;-0.0092143;-0.0532653;-0.0194809;0.0326301;8
22.4620;-0.9059175;0.3231010;0.0464946;-0.0564812;0.0061194;-0.2250665;8
22.5120;-0.9477858;0.2710838;0.0138770;0.3020995;0.0521649;-0.2737532;8
22.5620;-0.9775033;0.3926420;0.0500227;-0.0009779;0.1669231;-0.2290426;8
22.6130;-0.9893617;0.3539565;0.0230265;0.0956690;0.0642873;-0.3868514;8
22.6630;-1.1941795;0.1339899;-0.0172530;0.1132256;-0.1027909;-0.6845803;8
22.7120;-0.9625604;0.2048201;0.0525153;-0.0205078;-0.1084512;-0.6918477;8
22.7620;-0.9618038;0.0942556;-0.0746004;-0.0769160;-0.0464580;-0.6353524;8
22.8120;-0.9500766;-0.0172259;0.0054732;-0.8312156;0.0706376;-0.7313985;8
22.8630;-1.0028911;0.0067689;0.1570646;-0.4254027;-0.0095329;-0.5322504;8
22.9130;-0.9679948;-0.0539718;0.3123898;-0.1317433;-0.0103602;-0.5404457;8
22.9620;-0.9826305;-0.0564715;0.2075139;0.0780030;-0.0467653;-0.5403442;8
23.0120;-0.9655529;-0.0391536;0.0060374;0.0693803;0.0468611;-0.5162110;8
23.0620;-0.9795811;-0.0978209;0.0328581;-0.2521176;0.0379841;-0.5384344;8
23.1130;-0.9436026;-0.1774487;0.0764430;-0.6506095;0.1736612;-0.6479795;8
23.1630;-0.9731597;-0.1462513;0.1583124;-0.4322447;0.3010994;-0.6698130;8
23.2120;-1.0136696;-0.0624597;0.1274486;-0.2781976;0.2272251;-0.5949971;8
23.2620;-1.0027779;-0.0157693;0.0399411;-0.4515614;0.1140047;-0.4964988;8
23.3120;-0.9659334;-0.0694521;0.1418359;-0.7287907;0.0504531;-0.4010478;8
23.3630;-0.9858929;-0.1961355;0.3092166;-0.5140217;0.1344793;-0.4097713;8
23.4130;-1.1734494;-0.1823641;0.1184320;0.2152930;0.0722432;-0.0945456;8
23.4620;-1.1129374;0.0028987;0.0402946;0.3124256;0.0689354;0.2208141;8
23.5120;-1.0991923;-0.0249886;0.1419949;0.0230733;-0.0106773;0.7490356;8
23.5620;-1.0789051;0.0302605;-0.0067395;0.2320592;-0.0478371;1.3981976;8
23.6130;-1.0804508;-0.0406071;-0.0915476;0.0954014;0.0669275;1.9247503;8
23.6630;-1.1121988;-0.1658876;-0.0060112;0.2363505;-0.0267520;1.7666291;8
23.7120;-1.0786174;-0.1468159;-0.0623719;0.7317460;0.0035051;1.5249841;8
23.7620;-0.9792469;0.0382939;0.0527561;0.6171232;-0.0326805;1.2484605;8
23.8120;-0.9050080;0.0034918;-0.0131847;0.5582504;-0.1351515;1.0023988;8
23.8630;-0.8227622;0.0647555;-0.0832045;0.4675613;-0.1110629;0.7032917;8
23.9130;-0.8124767;0.1540225;-0.0224247;-0.0634924;-0.0825140;0.3084502;8
23.9620;-0.8262387;0.2278411;0.0522225;-0.2550838;-0.0538949;-0.0956166;8
24.0120;-0.9267222;0.3129297;0.0658223;0.2290540;-0.0865995;-0.3876625;8
24.0620;-0.9726046;0.4301678;0.0156065;0.1763212;0.0461535;-0.4001515;8
24.1130;-1.0438423;0.5337793;-0.0524602;-0.5245962;0.1371577;-0.6736103;8
24.1630;-0.9539879;0.3222111;-0.0413549;-0.5801878;-0.1699978;-0.2243846;8
24.2120;-1.1437488;-0.0684550;0.1021596;-0.1004501;0.1491581;-0.2732204;8
24.2620;-1.0090197;0.1985328;0.2788408;0.7725185;-0.0680061;-0.5161456;8
24.3120;-0.9393620;-0.1025614;-0.0899613;0.1579682;-0.2079063;-0.7761305;8
24.3630;-0.9407466;-0.0167289;-0.1062118;-0.6566844;0.0517791;-0.9110129;8
24.4130;-0.9601254;-0.0509517;0.1265018;-0.4944608;0.1815125;-0.7531778;8
24.4620;-1.0009755;-0.0285553;0.3049285;-0.2901988;0.1324043;-0.6854450;8
24.5120;-0.9958792;-0.0795539;0.2400271;0.1382940;0.1030089;-0.5589108;8
24.5620;-1.0085036;-0.0276101;0.0959132;0.2374520;0.0838907;-0.5643720;8
24.6130;-0.9887139;-0.0679203;-0.0185645;-0.0500365;0.0627130;-0.5029083;8
24.6630;-0.9632469;-0.1295932;0.0694977;-0.2633639;0.0756641;-0.3594066;8
24.7120;-0.9281113;-0.1902508;0.1383124;-0.3567502;0.1927853;-0.5391916;8
24.7620;-0.9979177;-0.1489611;0.1186899;-0.0483741;0.2228550;-0.6174781;8
24.8120;-1.0146244;-0.0193189;0.0667347;0.0332706;0.0834761;-0.4782080;8
24.8630;-0.9952529;-0.0761244;0.0714838;-0.6450560;0.0789524;-0.3675358;8
24.9130;-1.0082563;-0.1962280;0.1582650;-0.8613429;0.1061889;-0.2867430;8
24.9620;-1.0421050;-0.1632036;0.1778540;-0.5890808;0.1478114;-0.1429473;8
25.0120;-1.1453599;-0.1371436;0.1943570;-0.1778413;0.1568256;-0.0439386;8
25.0620;-1.0883419;0.0157500;0.1638224;0.3878321;0.1091035;0.3252225;8
25.1130;-1.0085783;0.1169873;0.0386533;0.5378654;0.0008626;1.0076801;8
25.1630;-1.0542807;0.1182317;-0.1610438;0.2707513;0.1724348;1.8726338;8
25.2120;-1.1745500;-0.1810524;-0.0206114;-0.8706872;-0.1073259;1.7575423;8
25.2620;-1.1621119;-0.2955510;0.1695879;0.6771086;-0.1388181;1.7174600;8
25.3120;-1.0397093;-0.0367998;-0.1276329;1.5288989;-0.0472339;1.4642767;8
25.3630;-0.9317129;0.0290431;-0.1025269;0.5645333;-0.0958475;1.1384820;8
25.4130;-0.8622030;-0.0589241;-0.0848235;0.0874828;-0.0961872;0.7937939;8
25.4620;-0.8791357;0.0167432;-0.0127244;0.1245697;-0.0344947;0.5919598;8
25.5120;-0.8480057;0.1335654;0.0586286;-0.0416708;-0.0873610;0.1537900;8
25.5620;-0.8581840;0.3005628;0.1016479;0.2482602;-0.1168258;-0.1854375;8
25.6130;-0.9144986;0.3155643;0.0252132;0.4267949;-0.1341984;-0.2811567;8
25.6630;-0.9736554;0.3709141;0.0156096;0.0812371;-0.0266316;-0.2608517;8
25.7120;-0.9891393;0.4446309;0.0197831;0.0759027;-0.0124996;-0.2776723;8
25.7620;-1.0102518;0.3181325;-0.0339723;-0.3201724;-0.2538074;-0.6089668;8
25.8120;-1.0857720;-0.1236733;-0.0191686;-0.6074278;-0.0911859;-0.4302481;8
