cuda:0 (1 GPUs)
Train Size: 1188, Vali Size: 132, Test Size: 0

=== DAPT seed=3431 | train=1188 vali=132 | start=saved/pretrain_base_merged_10_20_9cls_align/limu_bert_x_align_dapt_5e-4_3200_seed3431 | lr=5e-05 epochs=1500 batch=128 workers=0 ===
    mask_cfg(./config/mask.json): ratio=0.15 alpha=6 max_gram=10 prob=0.8 replace=0
Loading the model from saved/pretrain_base_merged_10_20_9cls_align/limu_bert_x_align_dapt_5e-4_3200_seed3431
Epoch 123/1500 : Average Loss 0.0583. Test Loss 0.0678
Epoch 124/1500 : Average Loss 0.0581. Test Loss 0.0527
Epoch 125/1500 : Average Loss 0.0645. Test Loss 0.0626
Epoch 126/1500 : Average Loss 0.0577. Test Loss 0.0621
Epoch 127/1500 : Average Loss 0.0576. Test Loss 0.0536
Epoch 128/1500 : Average Loss 0.0607. Test Loss 0.0632
Epoch 129/1500 : Average Loss 0.0623. Test Loss 0.0618
Epoch 130/1500 : Average Loss 0.0581. Test Loss 0.0610
Epoch 131/1500 : Average Loss 0.0578. Test Loss 0.0560
Epoch 132/1500 : Average Loss 0.0598. Test Loss 0.0631
Epoch 133/1500 : Average Loss 0.0590. Test Loss 0.0492
Epoch 134/1500 : Average Loss 0.0560. Test Loss 0.0666
Epoch 135/1500 : Average Loss 0.0600. Test Loss 0.0529
Epoch 136/1500 : Average Loss 0.0557. Test Loss 0.0571
Epoch 137/1500 : Average Loss 0.0548. Test Loss 0.0525
Epoch 138/1500 : Average Loss 0.0602. Test Loss 0.0500
Epoch 139/1500 : Average Loss 0.0589. Test Loss 0.0583
Epoch 140/1500 : Average Loss 0.0567. Test Loss 0.0513
Epoch 141/1500 : Average Loss 0.0569. Test Loss 0.0607
Epoch 142/1500 : Average Loss 0.0545. Test Loss 0.0540
Epoch 143/1500 : Average Loss 0.0577. Test Loss 0.0595
Epoch 144/1500 : Average Loss 0.0600. Test Loss 0.0505
Epoch 145/1500 : Average Loss 0.0588. Test Loss 0.0520
Epoch 146/1500 : Average Loss 0.0642. Test Loss 0.0552
Epoch 147/1500 : Average Loss 0.0580. Test Loss 0.0518
Epoch 148/1500 : Average Loss 0.0590. Test Loss 0.0568
Epoch 149/1500 : Average Loss 0.0585. Test Loss 0.0507
Epoch 150/1500 : Average Loss 0.0598. Test Loss 0.0659
Epoch 151/1500 : Average Loss 0.0573. Test Loss 0.0539
Epoch 152/1500 : Average Loss 0.0568. Test Loss 0.0598
Epoch 153/1500 : Average Loss 0.0608. Test Loss 0.0527
Epoch 154/1500 : Average Loss 0.0597. Test Loss 0.0583
Epoch 155/1500 : Average Loss 0.0595. Test Loss 0.0469
Epoch 156/1500 : Average Loss 0.0575. Test Loss 0.0522
Epoch 157/1500 : Average Loss 0.0579. Test Loss 0.0582
Epoch 158/1500 : Average Loss 0.0626. Test Loss 0.0549
Epoch 159/1500 : Average Loss 0.0645. Test Loss 0.0629
Epoch 160/1500 : Average Loss 0.0594. Test Loss 0.0598
Epoch 161/1500 : Average Loss 0.0593. Test Loss 0.0444
Epoch 162/1500 : Average Loss 0.0581. Test Loss 0.0487
Epoch 163/1500 : Average Loss 0.0576. Test Loss 0.0594
Epoch 164/1500 : Average Loss 0.0542. Test Loss 0.0492
Epoch 165/1500 : Average Loss 0.0571. Test Loss 0.0592
Epoch 166/1500 : Average Loss 0.0540. Test Loss 0.0558
Epoch 167/1500 : Average Loss 0.0572. Test Loss 0.0532
Epoch 168/1500 : Average Loss 0.0585. Test Loss 0.0445
Epoch 169/1500 : Average Loss 0.0562. Test Loss 0.0478
Epoch 170/1500 : Average Loss 0.0596. Test Loss 0.0615
Epoch 171/1500 : Average Loss 0.0598. Test Loss 0.0502
Epoch 172/1500 : Average Loss 0.0585. Test Loss 0.0640
Epoch 173/1500 : Average Loss 0.0584. Test Loss 0.0513
Epoch 174/1500 : Average Loss 0.0555. Test Loss 0.0490
Epoch 175/1500 : Average Loss 0.0559. Test Loss 0.0535
Epoch 176/1500 : Average Loss 0.0584. Test Loss 0.0577
Epoch 177/1500 : Average Loss 0.0598. Test Loss 0.0513
Epoch 178/1500 : Average Loss 0.0553. Test Loss 0.0507
Epoch 179/1500 : Average Loss 0.0586. Test Loss 0.0568
Epoch 180/1500 : Average Loss 0.0572. Test Loss 0.0570
Epoch 181/1500 : Average Loss 0.0576. Test Loss 0.0529
Epoch 182/1500 : Average Loss 0.0602. Test Loss 0.0564
Epoch 183/1500 : Average Loss 0.0568. Test Loss 0.0514
Epoch 184/1500 : Average Loss 0.0574. Test Loss 0.0548
Epoch 185/1500 : Average Loss 0.0547. Test Loss 0.0591
Epoch 186/1500 : Average Loss 0.0584. Test Loss 0.0498
Epoch 187/1500 : Average Loss 0.0585. Test Loss 0.0700
Epoch 188/1500 : Average Loss 0.0551. Test Loss 0.0608
Epoch 189/1500 : Average Loss 0.0603. Test Loss 0.0535
Epoch 190/1500 : Average Loss 0.0574. Test Loss 0.0590
Epoch 191/1500 : Average Loss 0.0596. Test Loss 0.0611
Epoch 192/1500 : Average Loss 0.0593. Test Loss 0.0560
Epoch 193/1500 : Average Loss 0.0554. Test Loss 0.0548
Epoch 194/1500 : Average Loss 0.0600. Test Loss 0.0542
Epoch 195/1500 : Average Loss 0.0557. Test Loss 0.0576
Epoch 196/1500 : Average Loss 0.0568. Test Loss 0.0628
Epoch 197/1500 : Average Loss 0.0584. Test Loss 0.0408
Epoch 198/1500 : Average Loss 0.0591. Test Loss 0.0520
Epoch 199/1500 : Average Loss 0.0577. Test Loss 0.0602
Epoch 200/1500 : Average Loss 0.0546. Test Loss 0.0530
Epoch 201/1500 : Average Loss 0.0577. Test Loss 0.0517
Epoch 202/1500 : Average Loss 0.0558. Test Loss 0.0457
Epoch 203/1500 : Average Loss 0.0585. Test Loss 0.0451
Epoch 204/1500 : Average Loss 0.0571. Test Loss 0.0571
Epoch 205/1500 : Average Loss 0.0565. Test Loss 0.0542
Epoch 206/1500 : Average Loss 0.0565. Test Loss 0.0511
Epoch 207/1500 : Average Loss 0.0573. Test Loss 0.0505
Epoch 208/1500 : Average Loss 0.0544. Test Loss 0.0668
Epoch 209/1500 : Average Loss 0.0573. Test Loss 0.0509
Epoch 210/1500 : Average Loss 0.0567. Test Loss 0.0643
Epoch 211/1500 : Average Loss 0.0550. Test Loss 0.0586
Epoch 212/1500 : Average Loss 0.0539. Test Loss 0.0526
Epoch 213/1500 : Average Loss 0.0572. Test Loss 0.0620
Epoch 214/1500 : Average Loss 0.0625. Test Loss 0.0504
Epoch 215/1500 : Average Loss 0.0583. Test Loss 0.0538
Epoch 216/1500 : Average Loss 0.0597. Test Loss 0.0580
Epoch 217/1500 : Average Loss 0.0552. Test Loss 0.0571
Epoch 218/1500 : Average Loss 0.0533. Test Loss 0.0451
Epoch 219/1500 : Average Loss 0.0598. Test Loss 0.0544
Epoch 220/1500 : Average Loss 0.0527. Test Loss 0.0582
Epoch 221/1500 : Average Loss 0.0579. Test Loss 0.0603
Epoch 222/1500 : Average Loss 0.0547. Test Loss 0.0513
Epoch 223/1500 : Average Loss 0.0554. Test Loss 0.0511
Epoch 224/1500 : Average Loss 0.0563. Test Loss 0.0450
Epoch 225/1500 : Average Loss 0.0588. Test Loss 0.0534
Epoch 226/1500 : Average Loss 0.0570. Test Loss 0.0532
Epoch 227/1500 : Average Loss 0.0593. Test Loss 0.0583
Epoch 228/1500 : Average Loss 0.0542. Test Loss 0.0516
Epoch 229/1500 : Average Loss 0.0540. Test Loss 0.0577
Epoch 230/1500 : Average Loss 0.0565. Test Loss 0.0537
Epoch 231/1500 : Average Loss 0.0522. Test Loss 0.0560
Epoch 232/1500 : Average Loss 0.0541. Test Loss 0.0537
Epoch 233/1500 : Average Loss 0.0596. Test Loss 0.0593
Epoch 234/1500 : Average Loss 0.0624. Test Loss 0.0556
Epoch 235/1500 : Average Loss 0.0566. Test Loss 0.0517
Epoch 236/1500 : Average Loss 0.0541. Test Loss 0.0585
Epoch 237/1500 : Average Loss 0.0585. Test Loss 0.0525
Epoch 238/1500 : Average Loss 0.0556. Test Loss 0.0568
Epoch 239/1500 : Average Loss 0.0541. Test Loss 0.0608
Epoch 240/1500 : Average Loss 0.0565. Test Loss 0.0541
Epoch 241/1500 : Average Loss 0.0558. Test Loss 0.0634
Epoch 242/1500 : Average Loss 0.0555. Test Loss 0.0654
Epoch 243/1500 : Average Loss 0.0585. Test Loss 0.0546
Epoch 244/1500 : Average Loss 0.0556. Test Loss 0.0604
Epoch 245/1500 : Average Loss 0.0551. Test Loss 0.0544
Epoch 246/1500 : Average Loss 0.0571. Test Loss 0.0541
Epoch 247/1500 : Average Loss 0.0564. Test Loss 0.0543
Epoch 248/1500 : Average Loss 0.0572. Test Loss 0.0612
Epoch 249/1500 : Average Loss 0.0562. Test Loss 0.0558
Epoch 250/1500 : Average Loss 0.0582. Test Loss 0.0561
Epoch 251/1500 : Average Loss 0.0527. Test Loss 0.0511
Epoch 252/1500 : Average Loss 0.0601. Test Loss 0.0566
Epoch 253/1500 : Average Loss 0.0571. Test Loss 0.0523
Epoch 254/1500 : Average Loss 0.0552. Test Loss 0.0460
Epoch 255/1500 : Average Loss 0.0555. Test Loss 0.0528
Epoch 256/1500 : Average Loss 0.0552. Test Loss 0.0537
Epoch 257/1500 : Average Loss 0.0556. Test Loss 0.0457
Epoch 258/1500 : Average Loss 0.0548. Test Loss 0.0480
Epoch 259/1500 : Average Loss 0.0566. Test Loss 0.0489
Epoch 260/1500 : Average Loss 0.0566. Test Loss 0.0516
Epoch 261/1500 : Average Loss 0.0543. Test Loss 0.0460
Epoch 262/1500 : Average Loss 0.0594. Test Loss 0.0492
Epoch 263/1500 : Average Loss 0.0561. Test Loss 0.0573
Epoch 264/1500 : Average Loss 0.0590. Test Loss 0.0462
Epoch 265/1500 : Average Loss 0.0569. Test Loss 0.0468
Epoch 266/1500 : Average Loss 0.0609. Test Loss 0.0542
Epoch 267/1500 : Average Loss 0.0570. Test Loss 0.0630
Epoch 268/1500 : Average Loss 0.0530. Test Loss 0.0577
Epoch 269/1500 : Average Loss 0.0553. Test Loss 0.0497
Epoch 270/1500 : Average Loss 0.0555. Test Loss 0.0475
Epoch 271/1500 : Average Loss 0.0568. Test Loss 0.0430
Epoch 272/1500 : Average Loss 0.0521. Test Loss 0.0565
Epoch 273/1500 : Average Loss 0.0565. Test Loss 0.0561
Epoch 274/1500 : Average Loss 0.0564. Test Loss 0.0505
Epoch 275/1500 : Average Loss 0.0578. Test Loss 0.0586
Epoch 276/1500 : Average Loss 0.0516. Test Loss 0.0638
Epoch 277/1500 : Average Loss 0.0563. Test Loss 0.0536
Epoch 278/1500 : Average Loss 0.0579. Test Loss 0.0477
Epoch 279/1500 : Average Loss 0.0573. Test Loss 0.0501
Epoch 280/1500 : Average Loss 0.0541. Test Loss 0.0573
Epoch 281/1500 : Average Loss 0.0581. Test Loss 0.0565
Epoch 282/1500 : Average Loss 0.0533. Test Loss 0.0508
Epoch 283/1500 : Average Loss 0.0602. Test Loss 0.0549
Epoch 284/1500 : Average Loss 0.0551. Test Loss 0.0549
Epoch 285/1500 : Average Loss 0.0547. Test Loss 0.0502
Epoch 286/1500 : Average Loss 0.0581. Test Loss 0.0556
Epoch 287/1500 : Average Loss 0.0555. Test Loss 0.0597
Epoch 288/1500 : Average Loss 0.0540. Test Loss 0.0602
Epoch 289/1500 : Average Loss 0.0603. Test Loss 0.0502
Epoch 290/1500 : Average Loss 0.0542. Test Loss 0.0583
Epoch 291/1500 : Average Loss 0.0535. Test Loss 0.0502
Epoch 292/1500 : Average Loss 0.0573. Test Loss 0.0567
Epoch 293/1500 : Average Loss 0.0524. Test Loss 0.0539
Epoch 294/1500 : Average Loss 0.0538. Test Loss 0.0529
Epoch 295/1500 : Average Loss 0.0546. Test Loss 0.0560
Epoch 296/1500 : Average Loss 0.0513. Test Loss 0.0494
Epoch 297/1500 : Average Loss 0.0571. Test Loss 0.0535
Epoch 298/1500 : Average Loss 0.0544. Test Loss 0.0558
Epoch 299/1500 : Average Loss 0.0565. Test Loss 0.0573
Epoch 300/1500 : Average Loss 0.0566. Test Loss 0.0557
Epoch 301/1500 : Average Loss 0.0548. Test Loss 0.0398
Epoch 302/1500 : Average Loss 0.0537. Test Loss 0.0447
Epoch 303/1500 : Average Loss 0.0559. Test Loss 0.0479
Epoch 304/1500 : Average Loss 0.0549. Test Loss 0.0553
Epoch 305/1500 : Average Loss 0.0527. Test Loss 0.0597
Epoch 306/1500 : Average Loss 0.0533. Test Loss 0.0537
Epoch 307/1500 : Average Loss 0.0560. Test Loss 0.0536
Epoch 308/1500 : Average Loss 0.0532. Test Loss 0.0439
Epoch 309/1500 : Average Loss 0.0552. Test Loss 0.0515
Epoch 310/1500 : Average Loss 0.0525. Test Loss 0.0502
Epoch 311/1500 : Average Loss 0.0555. Test Loss 0.0568
Epoch 312/1500 : Average Loss 0.0562. Test Loss 0.0485
Epoch 313/1500 : Average Loss 0.0542. Test Loss 0.0529
Epoch 314/1500 : Average Loss 0.0526. Test Loss 0.0528
Epoch 315/1500 : Average Loss 0.0564. Test Loss 0.0555
Epoch 316/1500 : Average Loss 0.0543. Test Loss 0.0531
Epoch 317/1500 : Average Loss 0.0538. Test Loss 0.0594
Epoch 318/1500 : Average Loss 0.0515. Test Loss 0.0573
Epoch 319/1500 : Average Loss 0.0558. Test Loss 0.0508
Epoch 320/1500 : Average Loss 0.0524. Test Loss 0.0448
Epoch 321/1500 : Average Loss 0.0543. Test Loss 0.0545
Epoch 322/1500 : Average Loss 0.0566. Test Loss 0.0558
Epoch 323/1500 : Average Loss 0.0586. Test Loss 0.0462
Epoch 324/1500 : Average Loss 0.0541. Test Loss 0.0547
Epoch 325/1500 : Average Loss 0.0572. Test Loss 0.0551
Epoch 326/1500 : Average Loss 0.0545. Test Loss 0.0588
Epoch 327/1500 : Average Loss 0.0515. Test Loss 0.0618
Epoch 328/1500 : Average Loss 0.0535. Test Loss 0.0445
Epoch 329/1500 : Average Loss 0.0569. Test Loss 0.0457
Epoch 330/1500 : Average Loss 0.0565. Test Loss 0.0526
Epoch 331/1500 : Average Loss 0.0539. Test Loss 0.0586
Epoch 332/1500 : Average Loss 0.0551. Test Loss 0.0554
Epoch 333/1500 : Average Loss 0.0570. Test Loss 0.0492
Epoch 334/1500 : Average Loss 0.0538. Test Loss 0.0505
Epoch 335/1500 : Average Loss 0.0523. Test Loss 0.0471
Epoch 336/1500 : Average Loss 0.0529. Test Loss 0.0582
Epoch 337/1500 : Average Loss 0.0557. Test Loss 0.0482
Epoch 338/1500 : Average Loss 0.0570. Test Loss 0.0578
Epoch 339/1500 : Average Loss 0.0516. Test Loss 0.0402
Epoch 340/1500 : Average Loss 0.0509. Test Loss 0.0567
Epoch 341/1500 : Average Loss 0.0519. Test Loss 0.0519
Epoch 342/1500 : Average Loss 0.0561. Test Loss 0.0575
Epoch 343/1500 : Average Loss 0.0537. Test Loss 0.0604
Epoch 344/1500 : Average Loss 0.0551. Test Loss 0.0506
Epoch 345/1500 : Average Loss 0.0557. Test Loss 0.0557
Epoch 346/1500 : Average Loss 0.0567. Test Loss 0.0548
Epoch 347/1500 : Average Loss 0.0520. Test Loss 0.0542
Epoch 348/1500 : Average Loss 0.0549. Test Loss 0.0488
Epoch 349/1500 : Average Loss 0.0539. Test Loss 0.0584
Epoch 350/1500 : Average Loss 0.0550. Test Loss 0.0597
Epoch 351/1500 : Average Loss 0.0540. Test Loss 0.0476
Epoch 352/1500 : Average Loss 0.0560. Test Loss 0.0551
Epoch 353/1500 : Average Loss 0.0594. Test Loss 0.0528
Epoch 354/1500 : Average Loss 0.0551. Test Loss 0.0518
Epoch 355/1500 : Average Loss 0.0537. Test Loss 0.0510
Epoch 356/1500 : Average Loss 0.0557. Test Loss 0.0530
Epoch 357/1500 : Average Loss 0.0547. Test Loss 0.0549
Epoch 358/1500 : Average Loss 0.0571. Test Loss 0.0483
Epoch 359/1500 : Average Loss 0.0545. Test Loss 0.0495
Epoch 360/1500 : Average Loss 0.0539. Test Loss 0.0549
Epoch 361/1500 : Average Loss 0.0527. Test Loss 0.0538
Epoch 362/1500 : Average Loss 0.0552. Test Loss 0.0500
Epoch 363/1500 : Average Loss 0.0536. Test Loss 0.0612
Epoch 364/1500 : Average Loss 0.0556. Test Loss 0.0591
Epoch 365/1500 : Average Loss 0.0532. Test Loss 0.0536
Epoch 366/1500 : Average Loss 0.0506. Test Loss 0.0491
Epoch 367/1500 : Average Loss 0.0551. Test Loss 0.0511
Epoch 368/1500 : Average Loss 0.0567. Test Loss 0.0417
Epoch 369/1500 : Average Loss 0.0532. Test Loss 0.0470
Epoch 370/1500 : Average Loss 0.0515. Test Loss 0.0523
Epoch 371/1500 : Average Loss 0.0555. Test Loss 0.0474
Epoch 372/1500 : Average Loss 0.0549. Test Loss 0.0487
Epoch 373/1500 : Average Loss 0.0526. Test Loss 0.0557
Epoch 374/1500 : Average Loss 0.0552. Test Loss 0.0537
