Header;foot_Accel_X;foot_Accel_Y;foot_Accel_Z;foot_Gyro_X;foot_Gyro_Y;foot_Gyro_Z;shank_Accel_X;shank_Accel_Y;shank_Accel_Z;shank_Gyro_X;shank_Gyro_Y;shank_Gyro_Z;thigh_Accel_X;thigh_Accel_Y;thigh_Accel_Z;thigh_Gyro_X;thigh_Gyro_Y;thigh_Gyro_Z;trunk_Accel_X;trunk_Accel_Y;trunk_Accel_Z;trunk_Gyro_X;trunk_Gyro_Y;trunk_Gyro_Z;Label;
6.3;-0.25227823;-0.090102524;0.966302279;-0.021381982;-0.000394901;0.022997178;-0.997464437;-0.055917793;0.075472124;0.161433895;0.034909037;-0.017684254;-0.997794849;-0.051657505;-0.069639337;-0.012330287;0.038937651;0.020452353;-0.965394734;-0.036353562;0.294390714;-0.030032915;-0.094077096;0.007421864;stand;3
6.4;-0.438195107;0.177253803;0.806291609;-0.017209984;6.6421E-05;0.02572371;-0.997609994;-0.050431108;0.07317966;-0.019508319;0.005604271;-0.003336444;-0.99678201;-0.058442876;-0.081414163;-0.002259237;0.045052385;0.010721817;-0.961800431;-0.036715938;0.306883935;-0.028681522;-0.065185965;0.015735509;stand;3
6.5;-0.522890746;0.302840119;0.743625922;-0.018363087;-0.002896791;0.022691808;-0.992567304;-0.055441669;0.070342139;0.008613064;0.005685494;-0.003929342;-0.99257297;-0.050714004;-0.069796564;0.019781655;0.045345849;0.015471999;-0.961172274;-0.039939183;0.305142112;-0.058428054;0.000169975;0.013778601;stand;3
6.6;-0.522292399;0.30241698;0.742815021;-0.018806414;-0.001508057;0.022669911;-0.997964802;-0.044372579;0.075993573;-0.073408394;-0.008903983;0.013427225;-0.998416557;-0.056545767;-0.078748735;0.009703708;0.037117621;0.014802425;-0.95853698;-0.037487742;0.305287564;-0.034242492;0.003097658;0.002093078;stand;3
6.7;-0.522618466;0.303757413;0.743446482;-0.019469337;-0.000372124;0.023200121;-1.001086475;-0.05913968;0.067663827;-0.008014515;-0.00048527;-0.002267676;-1.002093182;-0.036369955;-0.055291675;0.031309264;0.042138345;0.011707961;-0.961008493;-0.038289605;0.30630254;-0.039889384;0.003590978;0.006742975;stand;3
6.8;-0.52212731;0.302048263;0.742944747;-0.021799095;-0.000863234;0.022996095;-0.988168301;-0.04099361;0.080064492;0.050096475;-0.00140614;-0.003959;-0.986664229;-0.063573664;-0.090690346;0.010699207;0.037229327;0.013216328;-0.962996201;-0.039498644;0.311726278;-0.047841522;-0.001600976;0.013447627;stand;3
6.9;-0.522151615;0.302706693;0.742933645;-0.020154872;-0.002577825;0.024374484;-1.000571097;-0.055263179;0.071502887;-0.088674321;-0.013469367;0.006659659;-1.000074754;-0.051389796;-0.07430142;0.021099945;0.040644582;0.011009535;-0.960952843;-0.039559047;0.309526841;-0.039766867;-0.033305648;0.022229695;stand;3
7;-0.521817832;0.302513799;0.743614798;-0.01963825;-0.00208615;0.023767125;-0.996369228;-0.056718566;0.074572365;-0.026125421;0.000249024;0.000697252;-0.998212308;-0.050092226;-0.066500577;0.006646004;0.041199472;0.011485177;-0.959604951;-0.037000721;0.313134041;-0.034977237;-0.009150608;0.023571962;stand;3
7.1;-0.522214696;0.303448289;0.743352903;-0.018120048;0.000342408;0.008550545;-0.994231179;-0.049548095;0.074505949;-0.004832807;0.000558027;0.001907405;-0.991822913;-0.051723024;-0.082335546;0.015390791;0.040789409;0.00927403;-0.958328896;-0.038141182;0.314606114;-0.025153733;0.00935682;0.01704433;stand;3
7.2;-0.523312658;0.303833776;0.742756425;-0.017547577;-0.003210827;0.023900975;-0.996304746;-0.052401425;0.074370726;0.001048807;0.002133829;-0.006005291;-0.998005533;-0.05216976;-0.071188663;0.008401413;0.037456848;0.012767959;-0.960442309;-0.034634654;0.310299916;-0.003459938;0.012122421;0.009875625;stand;3
7.3;-0.522697514;0.304324361;0.743242625;-0.018049184;-0.000432363;0.026608621;-0.99386146;-0.049810482;0.077888125;-0.003091952;0.005337133;0.002536835;-0.994517495;-0.048859145;-0.070762367;0.01305553;0.036943538;0.018719133;-0.959125482;-0.038451155;0.32034237;0.010396832;0.04016511;0.003686668;stand;3
7.4;-0.522538683;0.303622461;0.742339373;-0.014909795;0.002057536;0.026465857;-0.996188448;-0.049946935;0.073518593;-0.000671754;0.011022748;0.000142641;-0.995948879;-0.051086245;-0.076823301;0.009939738;0.037877999;0.018510396;-0.965768501;-0.033814446;0.302438705;0.051139142;0.099446872;0.003232019;stand;3
7.5;-0.52261097;0.30392805;0.741507681;-0.020058693;0.000900329;0.025018827;-0.9971506;-0.053416172;0.070770988;0.017498369;0.010166715;0.000543393;-0.997039137;-0.052968796;-0.076754023;0.012628205;0.036515595;0.020405318;-0.96445476;-0.030961752;0.293002702;0.002766504;0.087705486;0.006995596;stand;3
7.6;-0.522662655;0.304423016;0.741779867;-0.016106458;0.000686666;0.027337216;-0.995073648;-0.048282756;0.071313091;-0.009786584;-0.000637702;0.004881338;-0.993899461;-0.051059625;-0.081587042;0.015542823;0.039107638;0.019493954;-0.956932996;-0.028859518;0.276431495;-0.073481218;-0.008874472;0.007519086;stand;3
7.7;-0.522948405;0.305381979;0.741714256;-0.01479591;0.000688535;0.028243258;-0.996053692;-0.047761226;0.077072613;-0.038633221;0.014236103;0.003240344;-0.996186117;-0.046087528;-0.07190978;0.005593495;0.043764832;0.011454958;-0.963358215;-0.030908678;0.30526325;-0.022327644;0.014040215;0.01713785;stand;3
7.8;-0.523455397;0.305817289;0.741721178;-0.020598233;9.02294E-05;0.024637002;-0.997946931;-0.051148019;0.06558111;-0.01294492;0.007746568;-0.008906118;-0.995546514;-0.047737443;-0.081132778;0.000367634;0.052764397;0.010006521;-0.967355366;-0.02661647;0.311708499;-0.110444043;0.179012922;0.011233281;stand;3
