Header;foot_Accel_X;foot_Accel_Y;foot_Accel_Z;foot_Gyro_X;foot_Gyro_Y;foot_Gyro_Z;shank_Accel_X;shank_Accel_Y;shank_Accel_Z;shank_Gyro_X;shank_Gyro_Y;shank_Gyro_Z;thigh_Accel_X;thigh_Accel_Y;thigh_Accel_Z;thigh_Gyro_X;thigh_Gyro_Y;thigh_Gyro_Z;trunk_Accel_X;trunk_Accel_Y;trunk_Accel_Z;trunk_Gyro_X;trunk_Gyro_Y;trunk_Gyro_Z;Label;;
11.795;-1.20298711;-0.662347719;0.528107336;-1.938900638;1.871725009;-0.750582455;-1.182133966;-0.14483596;0.276202156;-0.234776353;2.322994839;0.232262812;-0.875750779;-0.104163449;-0.431877103;-0.301305362;-0.511304922;0.124006595;-0.944619364;-0.141765071;0.318675131;0.152541387;0.037418626;-0.136020202;walk;0;
11.895;-0.398815556;-0.358693284;0.877888277;0.247211954;-1.190244757;-0.333289841;-1.129901695;-0.148773342;-0.08722031;0.180641852;-0.676480879;0.182768037;-0.994468564;-0.142856143;-0.46463966;0.127769874;-0.412897563;0.223098109;-1.037526651;-0.162706971;0.296980459;0.149892274;0.071204938;-0.105202043;walk;0;
11.995;-0.438035195;-0.318017671;1.028283259;0.057074153;-0.554503102;-0.168078316;-0.980561625;-0.027772673;0.155593785;0.23902703;-0.985355185;0.278190336;-0.972400715;-0.040670206;-0.169811944;0.141505765;-0.490541113;0.338415288;-0.985193325;-0.079141997;0.240830687;0.010272161;0.139211299;-0.09136274;walk;0;
12.095;-0.245383084;-0.273341937;0.936296161;-0.259571226;-0.036696273;-0.102209227;-0.967671741;1.68E-05;0.194332046;0.102830135;-0.786376846;0.267227737;-0.976564997;0.016455523;-0.108083857;0.008914234;-0.713125979;0.286165866;-0.916797453;0.02539452;0.139300196;0.144077401;0.071230783;-0.084057642;walk;0;
12.195;-0.238683548;-0.244603364;0.945380358;-0.119645298;-0.078404375;-0.050999246;-0.978996887;0.044605209;0.292980007;0.080819637;-0.497287335;0.168943071;-1.02212809;0.050714138;-0.03701795;0.020613699;-0.676505152;0.186495231;-0.987769366;0.016954174;0.179387471;0.070154996;-0.099671289;-0.09640794;walk;1;
12.295;-0.254032876;-0.211247334;0.939770919;-0.311729859;-0.101358952;-0.029608508;-0.971839076;0.05173081;0.20513795;-0.273555437;-0.354300473;0.102520983;-0.974788848;0.055145613;-0.096484689;-0.292000581;-0.666335338;0.016348323;-0.919305403;-0.009611017;0.222539819;-0.179975323;-0.174458418;-0.065333326;walk;1;
12.395;-0.253630454;-0.200095458;0.949885695;-0.169910703;-0.095161309;0.056329353;-0.977504444;0.034015737;0.23099274;-0.306253433;-0.460198158;0.006422767;-0.975876275;0.047867001;-0.068801883;-0.296299027;-0.668276088;-0.078463813;-0.969064797;0.091826249;0.23968793;-0.465864486;-0.017415975;0.252175191;walk;1;
12.495;-0.249797069;-0.150572138;0.990356222;0.05815618;-0.21103101;0.091027937;-1.023402999;0.057179366;0.257537084;-0.333653028;-0.550137769;-0.157028388;-1.025866548;0.104497883;-0.0013629;-0.282700324;-0.745015447;-0.237502436;-0.96350693;0.069166184;0.284991163;-0.376029915;-0.066574554;0.236599715;walk;1;
12.595;-0.198590113;-0.128866058;1.054789666;0.948665028;-1.007044006;-0.005888399;-1.163177097;0.009451748;0.112533919;0.265039881;-0.904706681;-0.41536514;-1.123329941;0.097556132;-0.117745808;0.362788761;-0.50101185;-0.329774672;-1.105124736;0.033188909;0.254259831;-0.089517965;0.001693261;-0.168302832;walk;1;
12.695;-0.237229292;-0.248629836;0.888008036;2.004604236;-2.387214578;-0.21560018;-1.063099799;0.02455254;0.157069916;0.723636056;-1.601455136;-0.403499984;-1.028458338;-0.05510441;-0.219578362;0.819576103;0.450030854;-0.120270789;-0.999595651;-0.095175518;0.162901536;-0.121002077;0.076463384;-0.163352632;walk;1;
12.795;-0.574896956;-0.528872092;0.785283527;1.786840286;-3.663027247;-0.440799432;-0.990149702;-0.100708341;0.454202366;-0.247210986;-1.883827061;-0.043243664;-1.084262851;-0.184278599;-0.172892358;-0.162316171;1.729611357;-0.210433494;-0.955470647;-0.061918175;0.104152217;-0.071879417;0.066079342;-0.133020455;walk;1;
12.895;-0.618835133;-0.674588639;0.947519699;0.16692775;-1.030900808;0.352185994;-0.541691092;-0.146039904;0.685583098;-0.456402758;-0.409139604;0.351009797;-1.13751881;-0.178970563;-0.021615436;-0.546111118;2.086280139;-0.200617428;-1.000297712;-0.034780407;0.183552451;-0.054706087;0.155494703;0.090912718;walk;1;
12.995;-0.1637234;-0.509501577;0.6282661;-2.025185272;3.261500447;0.888004473;-0.371002213;-0.168677981;0.564339592;-0.179088263;2.471355557;0.268098498;-0.91461852;-0.106686664;0.018392961;-0.320261097;1.355725727;-0.036512596;-0.904378769;-0.112618893;0.262838846;0.090128743;0.078736277;0.141757443;walk;1;
13.095;-0.521430062;-0.721314194;0.871741632;-1.569187247;3.971204848;1.410680067;-0.783914219;-0.173118105;0.44573337;0.025308258;4.275344533;-0.089822553;-0.809843039;-0.142254115;-0.111622291;0.080002359;0.089103782;-0.05109323;-0.925186992;-0.086533201;0.314280914;0.144361436;0.049066137;-0.077554218;walk;1;
